ID,Description,01/2015,04/2015,07/2015,10/2015,01/2016,04/2016,07/2016,10/2016,01/2017,04/2017,07/2017,10/2017,01/2018,04/2018,07/2018,10/2018,01/2019,04/2019,07/2019,10/2019,01/2020,04/2020,07/2020,10/2020,01/2021,04/2021,07/2021,10/2021,01/2022,04/2022,07/2022,10/2022,01/2023,04/2023,07/2023,10/2023,01/2024,04/2024,07/2024,10/2024,01/2025,04/2025,07/2025
LWBM,Landwirtschaftliche Betriebsmittel,94.2,95.3,95.5,94.6,93.3,93.3,93.5,93.2,94.3,95.4,94.6,95.3,96.6,98.0,98.6,100.9,100.3,100.5,100.1,99.8,100.5,99.9,99.5,100.1,103.9,106.7,110.0,114.8,121.9,141.7,140.2,145.2,142.5,136.8,132.0,131.8,131.5,131.5,130.7,130.5,132.7,132.8,131.4
LWBM-1,Waren und Dienstleist. des lfd. landw. Verbrauchs,96.4,97.7,98.0,96.3,94.5,94.3,94.5,93.9,95.3,96.3,95.3,95.9,97.5,99.0,99.7,102.6,101.5,101.5,100.7,100.0,100.9,99.9,99.3,99.9,104.8,108.2,111.9,117.1,125.4,150.7,147.0,152.4,147.9,139.3,132.8,132.5,131.9,131.9,130.7,130.4,133.2,133.2,131.2
LWBM-11,Saat- und Pflanzgut,99.7,98.8,98.6,95.7,95.4,96.8,95.3,94.7,96.6,96.5,95.9,96.7,96.5,97.8,98.9,98.9,100.1,102.5,99.7,99.7,99.3,99.7,100.5,100.6,100.5,102.1,102.6,110.7,114.4,123.6,120.8,130.5,129.3,128.2,122.2,119.3,123.8,126.7,127.4,127.5,116.2,116.6,115.6
LWBM-12,Energie und Schmierstoffe,99.6,106.1,103.8,99.4,90.5,94.2,96.2,100.4,102.9,102.7,98.7,102.5,105.5,106.1,108.8,116.1,108.9,111.8,110.5,111.0,113.2,94.1,97.6,95.1,107.8,113.2,119.2,133.1,141.4,176.7,174.2,196.6,173.9,158.6,154.8,170.8,157.6,168.1,161.4,154.4,171.0,159.5,163.6
LWBM-121,Heizstoffe,90.4,96.2,94.3,90.7,79.4,81.8,84.9,88.2,90.6,89.9,85.2,88.9,92.4,92.8,95.4,104.8,99.8,101.7,100.9,102.2,100.6,100.5,99.4,99.4,102.0,102.3,102.7,105.4,120.6,138.0,158.8,188.3,186.8,195.2,196.6,194.6,192.4,192.4,188.9,186.5,185.6,185.9,185.2
LWBM-122,Treibstoffe,103.9,115.4,111.5,103.9,90.0,96.3,99.3,106.6,110.0,109.6,103.1,109.4,113.6,114.6,118.8,129.9,115.9,120.4,117.8,117.9,122.0,89.5,96.3,92.2,112.1,121.1,131.0,153.1,160.3,211.8,206.2,232.6,189.9,163.0,157.8,185.6,166.0,184.2,173.9,163.0,191.5,172.5,179.4
LWBM-123,Elektrischer Strom,91.3,91.0,90.7,90.6,91.0,91.6,91.3,91.4,92.3,92.6,93.2,93.2,93.8,94.2,94.2,94.2,96.1,97.0,97.5,97.7,99.8,101.3,99.5,99.5,101.0,101.0,101.1,102.1,110.7,120.2,115.5,128.1,139.2,138.8,135.9,134.2,129.7,128.0,127.5,126.8,125.1,124.8,124.9
LWBM-124,Schmierstoffe,97.8,94.3,94.6,95.3,95.7,96.3,96.7,96.5,96.7,96.6,96.7,97.1,97.8,98.0,98.8,98.4,100.6,101.6,101.7,101.3,101.8,97.5,100.6,100.2,101.1,102.6,103.2,106.0,107.3,109.2,111.6,116.7,118.3,120.1,120.8,120.1,122.5,123.8,121.2,120.9,122.8,122.9,122.7
LWBM-13,Düngemittel,102.1,103.9,102.3,102.5,100.5,98.5,92.2,92.0,93.4,96.4,93.4,93.6,96.0,96.8,95.7,99.2,100.9,102.6,103.2,103.9,103.7,101.1,95.4,99.8,97.7,107.4,120.0,131.9,152.2,253.2,252.7,276.1,239.3,193.7,150.8,150.7,154.7,155.2,141.9,147.8,152.4,166.7,155.3
LWBM-14,Pflanzenschutzmittel,95.8,95.9,97.2,97.1,97.0,97.0,97.0,97.9,98.8,99.5,99.5,99.4,100.0,99.6,98.6,98.3,98.7,98.9,99.2,99.6,99.6,99.9,99.8,100.8,101.1,101.4,101.2,103.0,104.9,107.3,109.0,114.0,118.6,121.6,122.1,122.2,122.1,122.4,122.1,122.1,121.3,120.2,120.4
