"district_no","district","nuts_id","year","var","measure","value","outlier"
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"ArabLand","area",891,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"district","area",5673,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"grain_maize","area",NA,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"grain_maize","yield",NA,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"oats","area",42,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"oats","yield",4.95,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"potat_tot","area",2,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"potat_tot","yield",NA,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"rye","area",72,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"rye","yield",4.35,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"sb","area",127,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"sb","yield",3.63,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"silage_maize","area",43,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"silage_maize","yield",43.6,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"sugarbeet","area",NA,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"sugarbeet","yield",NA,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"wb","area",257,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"wb","yield",4.52,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"wrape","area",79,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"wrape","yield",2.83,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"ww","area",189,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1979,"ww","yield",5.29,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1980,"ArabLand","area",852,0
"01001","Flensburg, kreisfreie Stadt","DEF01",1980,"district","area",5673,0
