factory_id,year,campaign_start_date,campaign_end_date
SZ-OFS,2017,2017-09-10,2018-01-24
SZ-OCH,2017,2017-09-12,2018-01-25
NZ-SCH,2019,2019-09-14,2020-01-15
NZ-CLA,2019,2019-09-17,2020-01-15
SZ-WAB,2020,2020-09-09,2021-01-10
PL-JUL,2020,2020-09-29,2020-12-28
PL-KON,2020,2020-09-29,2020-12-28
PL-LAG,2020,2020-10-05,2021-01-31
NZ-SCH,2021,2021-09-10,2022-01-22
NZ-CLA,2021,2021-09-11,2022-01-22
NZ-UEL,2021,2021-09-15,2022-01-22
NZ-NOR,2021,2021-09-17,2022-01-22
NZ-KLW,2021,2021-09-21,2022-01-22
NZ-SCH,2022,2022-09-03,2023-01-28
PL-LAG,2022,2022-09-09,2023-01-15
PL-JUL,2022,2022-09-19,2023-01-10
PL-KON,2022,2022-09-19,2023-01-10
PL-APP,2022,2022-09-26,2023-01-10
PL-EUS,2022,2022-10-04,2023-01-10
NZ-UEL,2022,2022-09-15,2023-02-05
NZ-SCH,2023,2023-09-08,2024-02-10
PL-LAG,2023,2023-09-14,2024-01-31
PL-KON,2023,2023-09-18,2024-01-20
PL-JUL,2023,2023-09-25,2024-01-20
PL-APP,2023,2023-09-25,2024-01-20
PL-EUS,2023,2023-10-04,2024-01-20
PL-KON,2024,2024-09-04,2025-02-28
SZ-OFS,2024,2024-09-10,2025-01-07
SZ-OCH,2024,2024-09-13,2025-01-25
