Year,Crop,Land,Field_ha,Harvested_t,Yield_dt/ha
2017,Sugar beet,Baden-Württemberg,20600,1814000,879.7
2017,Sugar beet,Bayern,71100,6567700,923.7
2017,Sugar beet,Berlin,-,-,-
2017,Sugar beet,Brandenburg,6300,448700,711.6
2017,Sugar beet,Bremen,-,-,-
2017,Sugar beet,Hamburg,0,/,/
2017,Sugar beet,Hessen,17600,1556400,883.0
2017,Sugar beet,Mecklenburg-Vorpommern,22200,1656400,745.7
2017,Sugar beet,Niedersachsen,102600,8475800,826.2
2017,Sugar beet,Nordrhein-Westfalen,61000,5411500,886.8
2017,Sugar beet,Rheinland-Pfalz,19900,1594400,800.3
2017,Sugar beet,Saarland,.,.,/
2017,Sugar beet,Sachsen,15800,1278600,809.3
2017,Sugar beet,Sachsen-Anhalt,51000,3830800,751.8
2017,Sugar beet,Schleswig-Holstein,8100,616200,765.2
2017,Sugar beet,Thüringen,10400,808800,774.6
2018,Sugar beet,Baden-Württemberg,21400,1303500,608.9
2018,Sugar beet,Bayern,69000,5147400,746.1
2018,Sugar beet,Berlin,-,-,-
2018,Sugar beet,Brandenburg,7500,383500,510.9
2018,Sugar beet,Bremen,-,-,-
2018,Sugar beet,Hamburg,0,/,/
2018,Sugar beet,Hessen,17800,1122200,629.7
2018,Sugar beet,Mecklenburg-Vorpommern,24900,1517500,609.3
2018,Sugar beet,Niedersachsen,103400,7202700,696.3
2018,Sugar beet,Nordrhein-Westfalen,61700,3958100,641.7
2018,Sugar beet,Rheinland-Pfalz,19700,1278100,649.0
2018,Sugar beet,Saarland,.,.,/
2018,Sugar beet,Sachsen,16100,858500,534.5
2018,Sugar beet,Sachsen-Anhalt,51900,2175500,419.0
2018,Sugar beet,Schleswig-Holstein,9400,640500,683.6
2018,Sugar beet,Thüringen,11100,603300,543.2
2019,Sugar beet,Baden-Württemberg,19700,1592700,807.0
2019,Sugar beet,Bayern,67600,5589600,826.4
2019,Sugar beet,Berlin,-,-,-
2019,Sugar beet,Brandenburg,7500,457000,611.5
2019,Sugar beet,Bremen,-,-,-
2019,Sugar beet,Hamburg,0,/,/
2019,Sugar beet,Hessen,17800,1434500,804.2
2019,Sugar beet,Mecklenburg-Vorpommern,27500,2020800,735.8
2019,Sugar beet,Niedersachsen,103400,7668800,741.7
2019,Sugar beet,Nordrhein-Westfalen,59300,4453200,751.3
2019,Sugar beet,Rheinland-Pfalz,17600,1380600,785.8
2019,Sugar beet,Saarland,-,-,-
