district_no,year,yield
1001,1991,44.66
1001,1992,47.55
1001,1993,48.92
1001,1994,47.56
1002,1979,38.6
1002,1980,37.3
1002,1981,43.7
1002,1982,45.03
1002,1983,31.47
1002,1984,44.2
1002,1985,44.17
1002,1986,44.05
1002,1987,32.54
1002,1988,45.03
1002,1989,45.7
1002,1990,48.84
1002,1991,46.26
1002,1992,44.08
1002,1993,48.13
1002,1994,42.82
1002,1995,44.27
1002,1996,44.41
1002,1997,48.76
1002,1998,44.84
1002,1999,54.24
1002,2000,51.51
1002,2001,50.14
1002,2002,52.77
1002,2003,47.54
1002,2004,54.43
1002,2005,54.92
1002,2006,54.76
1002,2007,50.73
1002,2008,55.09
1002,2009,69.61
1002,2010,64.35
1002,2011,71.77
1002,2012,65.0
1002,2013,77.0
1002,2014,89.85
1002,2015,70.13
1003,1979,39.0
1003,1980,39.9
1003,1981,42.4
1003,1982,44.94
1003,1983,31.4
1003,1984,43.25
1003,1985,44.63
1003,1986,43.67
1003,1987,34.28
1003,1988,45.19
1003,1989,46.8
1003,1990,47.33
1003,1991,46.25
1003,1992,42.58
1003,1993,53.02
1003,1994,46.44
1003,1995,46.3
1003,1996,49.83
1003,1997,50.96
1003,1998,52.55
1003,1999,53.64
1003,2000,56.7
1003,2001,53.69
1003,2002,51.62
1003,2003,53.97
1003,2004,58.24
1003,2005,61.19
1003,2006,61.02
1003,2007,62.45
1003,2008,61.38
1003,2009,66.23
1003,2010,64.35
1003,2011,70.78
1003,2012,65.0
1003,2013,68.0
1003,2014,87.36
1003,2015,66.13
1004,1979,38.6
1004,1980,38.0
1004,1981,41.1
1004,1982,40.91
1004,1983,29.5
1004,1984,42.72
1004,1985,44.16
1004,1986,42.96
1004,1987,29.79
1004,1988,42.33
1004,1989,43.26
1004,1990,44.63
1004,1995,45.2
1004,1996,44.7
1004,1997,47.9
1004,1998,42.99
1004,1999,54.76
1004,2000,45.59
1004,2001,48.92
1004,2002,45.62
1004,2003,44.88
1004,2004,51.18
1004,2005,51.97
1004,2006,51.82
1004,2007,52.98
1004,2008,52.13
1004,2009,57.68
1004,2010,56.31
1004,2011,64.8
1004,2012,56.0
1004,2013,60.0
1004,2014,72.88
1004,2015,66.13
1051,1979,35.4
1051,1980,40.5
1051,1981,42.9
1051,1982,49.57
1051,1983,40.3
1051,1984,45.18
1051,1985,45.58
1051,1986,48.18
1051,1987,28.92
1051,1988,45.73
1051,1989,50.47
1051,1990,53.43
1051,1991,49.28
1051,1992,56.46
1051,1993,53.34
1051,1994,50.53
1051,1995,53.74
1051,1996,52.04
1051,1997,56.07
1051,1998,47.38
1051,1999,61.72
1051,2000,60.02
1051,2001,57.25
1051,2002,56.03
1051,2003,62.48
1051,2004,60.04
1051,2005,65.71
1051,2006,65.53
1051,2007,61.06
1051,2008,65.92
1051,2009,71.1
1051,2010,64.84
1051,2011,71.49
1051,2012,65.33
1051,2013,71.32
1051,2014,87.65
1051,2015,74.09
1051,2016,75.61
1051,2017,75.65
1051,2018,67.25
1051,2019,86.17
1051,2020,81.5
1051,2021,89.82
1053,1979,38.4
1053,1980,39.4
1053,1981,41.8
1053,1982,44.56
1053,1983,33.16
1053,1984,44.34
1053,1985,44.63
1053,1986,43.32
1053,1987,35.68
1053,1988,45.56
1053,1989,47.06
1053,1990,49.21
1053,1991,46.13
1053,1992,45.42
1053,1993,53.86
1053,1994,47.28
1053,1995,45.81
1053,1996,46.94
