district_no,year,yield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,DTR_accumulation_phase,temp_min_peak_growth,temp_max_peak_growth,spring_freezing_days,state_name,latitude,longitude,avg_elevation,avg_soil_pawc
01001,1991,44.66,180.10635,16.58963,0.0,15093051.0,7.2105,12.9855,20.196,5.75,Schleswig-Holstein,54.78521719151133,9.438831043329618,37.978017794942346,47.15841674963206
01001,1992,47.55,211.17133,16.3921,1.58333,14383004.0,7.22601,12.84154,20.06755,4.41667,Schleswig-Holstein,54.78521719151133,9.438831043329618,37.978017794942346,47.15841674963206
01001,1993,48.92,319.48642,14.13353,0.0,12378344.0,5.79133,11.2965,17.08784,19.5,Schleswig-Holstein,54.78521719151133,9.438831043329618,37.978017794942346,47.15841674963206
01001,1994,47.56,242.10323,17.25036,5.16667,15476343.0,7.37301,13.49243,20.86544,6.41667,Schleswig-Holstein,54.78521719151133,9.438831043329618,37.978017794942346,47.15841674963206
01002,1979,38.6,206.20702,14.53303,0.0,13082135.0,6.05819,11.65606,17.71425,18.91667,Schleswig-Holstein,54.323498021607314,10.132896569654715,26.115496976517644,51.365242304913146
01002,1980,37.3,302.96982,15.43518,0.0,13125355.0,5.78665,12.62351,18.41016,22.16667,Schleswig-Holstein,54.323498021607314,10.132896569654715,26.115496976517644,51.365242304913146
01002,1981,43.7,215.35931,15.65653,0.0,13483780.0,6.36089,12.5336,18.89449,8.5,Schleswig-Holstein,54.323498021607314,10.132896569654715,26.115496976517644,51.365242304913146
01002,1982,45.03,165.81583,16.84064,0.08333,15129164.0,7.44479,13.15706,20.60185,10.08333,Schleswig-Holstein,54.323498021607314,10.132896569654715,26.115496976517644,51.365242304913146
01002,1983,31.47,113.9363,17.03717,0.83333,15444728.0,7.67494,13.21692,20.89186,8.83333,Schleswig-Holstein,54.323498021607314,10.132896569654715,26.115496976517644,51.365242304913146
01002,1984,44.2,204.2348,15.14119,0.0,13149136.0,5.7039,12.44467,18.14857,24.75,Schleswig-Holstein,54.323498021607314,10.132896569654715,26.115496976517644,51.365242304913146
01002,1985,44.17,272.12738,15.23667,0.0,13610324.0,6.21478,12.18667,18.40145,17.16667,Schleswig-Holstein,54.323498021607314,10.132896569654715,26.115496976517644,51.365242304913146
