district_no,year,Field_ha,Harvested_t,Yield_dt/ha,kreisYield,kreisField_ha,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,temp_mean_early_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,producer_price_index,fertilizer_price_index,energy_price_index
1051,2017,8100.0,616200.0,765.2,75.65,800.7906419226468,340.12796,15.87733,0,14.545892,14153486.0,4.312761096339693,60.66861105434826,254.0,24.0,135.0,96.7,94.2,101.7
1051,2018,9400.0,640500.0,683.6,67.25,924.7366867689632,127.0535,17.749714,3,16.353191,16386463.0,4.312761096339693,60.66861105434826,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
1051,2019,9700.0,842800.0,870.7,86.17,959.9735833697329,257.27298,16.926172,3,14.248692,14977523.0,4.312761096339693,60.66861105434826,258.0,15.0,121.0,90.0,102.65,110.55
1051,2020,9900.0,802800.0,809.6,81.5,996.6032596385829,191.58801,16.793993,3,13.966193,15106671.0,4.312761096339693,60.66861105434826,269.0,8.0,105.0,100.0,100.0,100.0
1051,2021,9200.0,783300.0,846.9,89.82,975.7279478383186,252.6615,17.03226,0,13.911452,14492836.0,4.312761096339693,60.66861105434826,257.0,22.0,129.0,105.1,114.25,118.325
1053,2017,8100.0,616200.0,765.2,79.43,840.8037103491849,303.2144,16.000898,0,15.130373,13363720.0,40.00613405135157,48.82537288832111,254.0,24.0,135.0,96.7,94.2,101.7
1053,2018,9400.0,640500.0,683.6,64.67,889.2597997523993,96.13779,18.293072,10,16.816832,16319521.0,40.00613405135157,48.82537288832111,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
1053,2019,9700.0,842800.0,870.7,88.08,981.2518651874906,206.53331,17.122381,3,15.124663,14374707.0,40.00613405135157,48.82537288832111,258.0,15.0,121.0,90.0,102.65,110.55
1053,2020,9900.0,802800.0,809.6,75.49,923.1114119032713,172.70499,17.105925,4,14.541278,14753414.0,40.00613405135157,48.82537288832111,269.0,8.0,105.0,100.0,100.0,100.0
1053,2021,9200.0,783300.0,846.9,81.98,890.5608680002824,209.7589,17.151037,0,14.769795,13621645.0,40.00613405135157,48.82537288832111,257.0,22.0,129.0,105.1,114.25,118.325
1054,2018,9400.0,640500.0,683.6,70.93,975.3393783274732,168.00699,17.512829,1,15.883878,16434328.0,3.878989444346276,57.13157050524072,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
1054,2019,9700.0,842800.0,870.7,99.18,1104.910989887549,290.61267,16.745434,0,13.78195,15022340.0,3.878989444346276,57.13157050524072,258.0,15.0,121.0,90.0,102.65,110.55
1054,2020,9900.0,802800.0,809.6,88.57,1083.057063879623,213.30498,16.65996,0,13.639533,15279665.0,3.878989444346276,57.13157050524072,269.0,8.0,105.0,100.0,100.0,100.0
1054,2021,9200.0,783300.0,846.9,93.31,1013.640334143771,256.65134,16.923311,0,13.324868,14724028.0,3.878989444346276,57.13157050524072,257.0,22.0,129.0,105.1,114.25,118.325
1058,2017,8100.0,616200.0,765.2,74.04,783.7480387039361,305.47137,15.617021,0,14.47043,13673043.0,18.6739993731766,53.52441928771236,254.0,24.0,135.0,96.7,94.2,101.7
1058,2018,9400.0,640500.0,683.6,74.42,1023.3294309196468,118.95138,17.634565,5,16.051552,16094589.0,18.6739993731766,53.52441928771236,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
1058,2019,9700.0,842800.0,870.7,83.81,933.6820937938645,234.00311,16.58614,2,14.108966,14502322.0,18.6739993731766,53.52441928771236,258.0,15.0,121.0,90.0,102.65,110.55
1058,2020,9900.0,802800.0,809.6,81.04,990.9782596455309,171.45691,16.506718,0,13.821274,14778614.0,18.6739993731766,53.52441928771236,269.0,8.0,105.0,100.0,100.0,100.0
1058,2021,9200.0,783300.0,846.9,81.67,887.1932921393397,236.9962,16.814352,0,13.956355,14044374.0,18.6739993731766,53.52441928771236,257.0,22.0,129.0,105.1,114.25,118.325
1059,2017,8100.0,616200.0,765.2,74.21,785.5475682363465,347.24734,15.437901,0,14.144549,13886399.0,21.813499268367053,51.94983958903685,254.0,24.0,135.0,96.7,94.2,101.7
1059,2018,9400.0,640500.0,683.6,76.15,1047.1181962447072,133.82068,17.379166,2,15.773316,16100814.0,21.813499268367053,51.94983958903685,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
1059,2019,9700.0,842800.0,870.7,83.37,928.780290652601,262.75266,16.42672,0,13.764474,14565299.0,21.813499268367053,51.94983958903685,258.0,15.0,121.0,90.0,102.65,110.55
1059,2020,9900.0,802800.0,809.6,83.2,1017.3913030911668,180.57063,16.308022,0,13.603547,14849913.0,21.813499268367053,51.94983958903685,269.0,8.0,105.0,100.0,100.0,100.0
1059,2021,9200.0,783300.0,846.9,81.92,889.9090791239709,240.12599,16.675528,0,13.545813,14188758.0,21.813499268367053,51.94983958903685,257.0,22.0,129.0,105.1,114.25,118.325
1060,2017,8100.0,616200.0,765.2,78.3,828.8421316925742,286.70526,15.782273,0,14.806738,13342904.0,34.30699266787498,50.82564035364499,254.0,24.0,135.0,96.7,94.2,101.7
1060,2018,9400.0,640500.0,683.6,57.12,785.4417776690436,103.40789,17.92072,9,16.456121,16029863.0,34.30699266787498,50.82564035364499,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
1060,2019,9700.0,842800.0,870.7,87.71,977.1298943641552,222.24788,16.811007,3,14.552205,14299665.0,34.30699266787498,50.82564035364499,258.0,15.0,121.0,90.0,102.65,110.55
1060,2020,9900.0,802800.0,809.6,76.03,929.7146727646805,167.74579,16.772795,5,14.17349,14653286.0,34.30699266787498,50.82564035364499,269.0,8.0,105.0,100.0,100.0,100.0
1060,2021,9200.0,783300.0,846.9,82.84,899.903175227414,230.36739,16.96342,0,14.339193,13734829.0,34.30699266787498,50.82564035364499,257.0,22.0,129.0,105.1,114.25,118.325
