district_no,year,kreisYield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,Crop,Field_ha,Harvested_t,Yield_dt/ha,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,kreisField_ha,winter_temp_anomaly,winter_precip_anomaly
01051,2017,75.65,340.1279602050781,15.87732982635498,0.0,14153486.0,4.312761096339693,60.66861105434826,Sugar beet,8100.0,616200.0,765.2,254.0,24.5,-229.5,800.7906419226468,-2.0377779080836262,-0.6451824171008316
01051,2019,86.17,257.2729797363281,16.926172256469727,3.0,14977523.0,4.312761096339693,60.66861105434826,Sugar beet,9700.0,842800.0,870.7,258.5,15.0,-243.5,959.9735833697329,0.5469795237405037,-0.15788407796323878
01051,2020,81.5,191.5880126953125,16.79399299621582,3.0,15106671.0,4.312761096339693,60.66861105434826,Sugar beet,9900.0,802800.0,809.6,269.5,191.75,-77.75,996.6032596385829,0.8265473059314559,0.2245780109863602
01051,2021,89.82,252.6614990234375,17.03226089477539,0.0,14492836.0,4.312761096339693,60.66861105434826,Sugar beet,9200.0,783300.0,846.9,257.8,22.0,-235.8,975.7279478383186,-0.22307363761859733,-0.04110241584861296
01053,2017,79.43,303.2143859863281,16.000898361206055,0.0,13363720.0,40.00613405135157,48.82537288832111,Sugar beet,8100.0,616200.0,765.2,254.0,24.5,-229.5,840.8037103491849,-2.0317323082772987,-0.5950921119817882
01053,2019,88.08,206.53330993652344,17.12238121032715,3.0,14374707.0,40.00613405135157,48.82537288832111,Sugar beet,9700.0,842800.0,870.7,258.5,15.0,-243.5,981.2518651874906,0.6142684273555687,-0.23070023090503478
01053,2020,75.49,172.70498657226562,17.105924606323242,4.0,14753414.0,40.00613405135157,48.82537288832111,Sugar beet,9900.0,802800.0,809.6,269.5,191.75,-77.75,923.1114119032713,0.9062581621238905,0.23272200433819257
01053,2021,81.98,209.75889587402344,17.151037216186523,0.0,13621645.0,40.00613405135157,48.82537288832111,Sugar beet,9200.0,783300.0,846.9,257.8,22.0,-235.8,890.5608680002824,-0.23469958681209846,0.016818999675501933
01054,2019,99.18,290.6126708984375,16.745433807373047,0.0,15022340.0,3.878989444346276,57.13157050524072,Sugar beet,9700.0,842800.0,870.7,258.5,15.0,-243.5,1104.910989887549,0.5637052220055807,-0.16599835372372296
01054,2020,88.57,213.3049774169922,16.65995979309082,0.0,15279665.0,3.878989444346276,57.13157050524072,Sugar beet,9900.0,802800.0,809.6,269.5,191.75,-77.75,1083.057063879623,0.8462970532150962,0.3166587552747049
