district_no,year,yield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,pflanzliche_erzeugung_lag1,zuckerrben_lag1,dngemittel_lag1,pflanzenschutzmittel_lag1,saat_und_pflanzgut_lag1,energie_und_schmierstoffe_lag1,winter_temp_anomaly,winter_precip_anomaly
01051,2018,67.25,127.0535,17.749714,3,16386463.0,4.312761096339693,60.66861105434826,93.1,96.7,94.2,99.3,96.425,101.7,-0.8317112027743292,0.11440881640232892
01051,2019,86.17,257.27298,16.926172,3,14977523.0,4.312761096339693,60.66861105434826,102.7,95.4,96.925,99.125,98.025,109.125,0.5469795237405037,-0.15788407796323878
01051,2020,81.5,191.58801,16.793993,3,15106671.0,4.312761096339693,60.66861105434826,101.9,90.0,102.65,99.1,100.5,110.55,0.8265473059314559,0.2245780109863602
01051,2021,89.82,252.6615,17.03226,0,14492836.0,4.312761096339693,60.66861105434826,100.0,100.0,100.0,100.025,100.025,100.0,-0.22307363761859733,-0.04110241584861296
01053,2018,64.67,96.13779,18.293072,10,16319521.0,40.00613405135157,48.82537288832111,93.1,96.7,94.2,99.3,96.425,101.7,-1.0518797291827013,0.11341886211115848
01053,2019,88.08,206.53331,17.122381,3,14374707.0,40.00613405135157,48.82537288832111,102.7,95.4,96.925,99.125,98.025,109.125,0.6142684273555687,-0.23070023090503478
01053,2020,75.49,172.70499,17.105925,4,14753414.0,40.00613405135157,48.82537288832111,101.9,90.0,102.65,99.1,100.5,110.55,0.9062581621238905,0.23272200433819257
01053,2021,81.98,209.7589,17.151037,0,13621645.0,40.00613405135157,48.82537288832111,100.0,100.0,100.0,100.025,100.025,100.0,-0.23469958681209846,0.016818999675501933
01054,2019,99.18,290.61267,16.745434,0,15022340.0,3.878989444346276,57.13157050524072,102.7,95.4,96.925,99.125,98.025,109.125,0.5637052220055807,-0.16599835372372296
01054,2020,88.57,213.30498,16.65996,0,15279665.0,3.878989444346276,57.13157050524072,101.9,90.0,102.65,99.1,100.5,110.55,0.8462970532150962,0.3166587552747049
01054,2021,93.31,256.65134,16.923311,0,14724028.0,3.878989444346276,57.13157050524072,100.0,100.0,100.0,100.025,100.025,100.0,-0.12391997538520627,-0.09085921103293748
