district_no,year,yield,state_name,latitude,longitude,pflanzliche_erzeugung,zuckerrben,dngemittel,energie_und_schmierstoffe,pflanzenschutzmittel,saat_und_pflanzgut,Field_ha,Harvested_t,Yield_dt/ha,kreisYield,kreisField_ha,temp_mean_early_growth,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,producer_price_index,fertilizer_price_index,energy_price_index,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,pflanzliche_erzeugung_lag1,zuckerrben_lag1,dngemittel_lag1,pflanzenschutzmittel_lag1,saat_und_pflanzgut_lag1,energie_und_schmierstoffe_lag1,winter_temp_anomaly,winter_precip_anomaly
01051,2018,67.25,Schleswig-Holstein,54.13288386150528,9.10891129597937,102.7,95.4,96.925,109.125,99.125,98.025,9400.0,640500.0,683.6,67.25,924.7366867689632,16.353191,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125,127.0535,17.749714,3.0,16386463.0,4.312761096339693,60.66861105434826,93.1,96.7,94.2,99.3,96.425,101.7,-0.8317112027743292,0.11440881640232892
01051,2019,86.17,Schleswig-Holstein,54.13288386150528,9.10891129597937,101.9,90.0,102.65,110.55,99.1,100.5,9700.0,842800.0,870.7,86.17,959.9735833697328,14.248692,258.0,15.0,121.0,90.0,102.65,110.55,257.27298,16.926172,3.0,14977523.0,4.312761096339693,60.66861105434826,102.7,95.4,96.925,99.125,98.025,109.125,0.5469795237405037,-0.15788407796323878
01051,2020,81.5,Schleswig-Holstein,54.13288386150528,9.10891129597937,100.0,100.0,100.0,100.0,100.025,100.025,9900.0,802800.0,809.6,81.5,996.6032596385828,13.966193,269.0,8.0,105.0,100.0,100.0,100.0,191.58801,16.793993,3.0,15106671.0,4.312761096339693,60.66861105434826,101.9,90.0,102.65,99.1,100.5,110.55,0.8265473059314559,0.2245780109863602
01051,2021,89.82,Schleswig-Holstein,54.13288386150528,9.10891129597937,114.3,105.1,114.25,118.325,101.675,103.975,9200.0,783300.0,846.9,89.82,975.7279478383186,13.911452,257.0,22.0,129.0,105.1,114.25,118.325,252.6615,17.03226,0.0,14492836.0,4.312761096339693,60.66861105434826,100.0,100.0,100.0,100.025,100.025,100.0,-0.22307363761859733,-0.04110241584861296
01053,2018,64.67,Schleswig-Holstein,53.58858731963378,10.60156834335143,102.7,95.4,96.925,109.125,99.125,98.025,9400.0,640500.0,683.6,64.67,889.2597997523993,16.816832,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125,96.13779,18.293072,10.0,16319521.0,40.00613405135157,48.82537288832111,93.1,96.7,94.2,99.3,96.425,101.7,-1.0518797291827013,0.11341886211115848
01053,2019,88.08,Schleswig-Holstein,53.58858731963378,10.60156834335143,101.9,90.0,102.65,110.55,99.1,100.5,9700.0,842800.0,870.7,88.08,981.2518651874906,15.124663,258.0,15.0,121.0,90.0,102.65,110.55,206.53331,17.122381,3.0,14374707.0,40.00613405135157,48.82537288832111,102.7,95.4,96.925,99.125,98.025,109.125,0.6142684273555687,-0.23070023090503478
01053,2020,75.49,Schleswig-Holstein,53.58858731963378,10.60156834335143,100.0,100.0,100.0,100.0,100.025,100.025,9900.0,802800.0,809.6,75.49,923.1114119032712,14.541278,269.0,8.0,105.0,100.0,100.0,100.0,172.70499,17.105925,4.0,14753414.0,40.00613405135157,48.82537288832111,101.9,90.0,102.65,99.1,100.5,110.55,0.9062581621238905,0.23272200433819257
01053,2021,81.98,Schleswig-Holstein,53.58858731963378,10.60156834335143,114.3,105.1,114.25,118.325,101.675,103.975,9200.0,783300.0,846.9,81.98,890.5608680002824,14.769795,257.0,22.0,129.0,105.1,114.25,118.325,209.7589,17.151037,0.0,13621645.0,40.00613405135157,48.82537288832111,100.0,100.0,100.0,100.025,100.025,100.0,-0.23469958681209846,0.016818999675501933
01054,2019,99.18,Schleswig-Holstein,54.60900681856426,8.888943832957597,101.9,90.0,102.65,110.55,99.1,100.5,9700.0,842800.0,870.7,99.18,1104.910989887549,13.78195,258.0,15.0,121.0,90.0,102.65,110.55,290.61267,16.745434,0.0,15022340.0,3.878989444346276,57.13157050524072,102.7,95.4,96.925,99.125,98.025,109.125,0.5637052220055807,-0.16599835372372296
01054,2020,88.57,Schleswig-Holstein,54.60900681856426,8.888943832957597,100.0,100.0,100.0,100.0,100.025,100.025,9900.0,802800.0,809.6,88.57,1083.057063879623,13.639533,269.0,8.0,105.0,100.0,100.0,100.0,213.30498,16.65996,0.0,15279665.0,3.878989444346276,57.13157050524072,101.9,90.0,102.65,99.1,100.5,110.55,0.8462970532150962,0.3166587552747049
