district_no,year,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,DTR_accumulation_phase,temp_min_peak_growth,temp_max_peak_growth,spring_freezing_days,spring_temp_anomaly_hybrid,spring_precip_anomaly_hybrid,summer_temp_anomaly_hybrid,summer_precip_anomaly_hybrid,avg_elevation,avg_soil_pawc,producer_price_index,energy_price_index,fertilizer_price_index,kreisYield,lon,lat,winter_temp_anomaly,winter_precip_anomaly,national_avg_yield,national_avg_yield_lag1,producer_price_index_lag1
01001,1992,211.171330,16.392100,1.583330,14383004.000000,7.226010,12.841540,20.067550,4.416670,-0.074850,-0.000120,-0.701000,0.000070,37.978018,47.158417,132.900000,48.475000,46.625000,475.500000,9.438831,54.785217,0.506895,-0.128545,494.272634,451.866847,132.900000
01001,1993,319.486420,14.133530,0.000000,12378344.000000,5.791330,11.296500,17.087840,19.500000,-0.501390,0.000150,-0.534620,-0.000210,37.978018,47.158417,131.200000,49.075000,44.350000,489.200000,9.438831,54.785217,-0.466393,-0.028278,549.429078,494.272634,132.900000
01001,1994,242.103230,17.250360,5.166670,15476343.000000,7.373010,13.492430,20.865440,6.416670,-0.587110,0.000030,-0.698940,0.000040,37.978018,47.158417,131.200000,50.625000,44.050000,475.600000,9.438831,54.785217,-0.944663,0.382717,492.390922,549.429078,131.200000
01002,1980,302.969820,15.435180,0.000000,13125355.000000,5.786650,12.623510,18.410160,22.166670,-1.270140,28086577.892300,-1.232950,63404063.415530,26.115497,51.365242,131.400000,46.025000,49.725000,373.000000,10.132897,54.323498,-1.547663,0.018801,418.496606,425.429261,127.700000
01002,1981,215.359310,15.656530,0.000000,13483780.000000,6.360890,12.533600,18.894490,8.500000,-0.413520,-0.000260,-0.201290,-0.000130,26.115497,51.365242,134.500000,53.925000,55.700000,437.000000,10.132897,54.323498,-0.609920,0.369475,471.524153,418.496606,131.400000
01002,1982,165.815830,16.840640,0.083330,15129164.000000,7.444790,13.157060,20.601850,10.083330,-0.761190,-0.000030,-0.535030,-0.000200,26.115497,51.365242,143.000000,57.225000,59.000000,450.300000,10.132897,54.323498,-2.174023,-0.064012,462.747570,471.524153,134.500000
01002,1983,113.936300,17.037170,0.833330,15444728.000000,7.674940,13.216920,20.891860,8.833330,-0.572970,-0.000120,-0.737460,-0.000060,26.115497,51.365242,145.100000,55.225000,56.250000,314.700000,10.132897,54.323498,0.486198,0.068563,374.505327,462.747570,143.000000
01002,1984,204.234800,15.141190,0.000000,13149136.000000,5.703900,12.444670,18.148570,24.750000,-0.331550,-0.000220,-0.270750,-0.000160,26.115497,51.365242,140.200000,57.650000,54.900000,442.000000,10.132897,54.323498,-0.857127,0.067149,441.567676,374.505327,145.100000
01002,1985,272.127380,15.236670,0.000000,13610324.000000,6.214780,12.186670,18.401450,17.166670,-0.954730,-0.000050,-0.320920,-0.000160,26.115497,51.365242,137.700000,59.400000,57.625000,441.700000,10.132897,54.323498,-2.002343,-0.083553,458.653945,441.567676,140.200000
01002,1986,202.760200,14.489420,0.000000,13381888.000000,6.457720,11.366760,17.824480,19.166670,-0.834800,-0.000270,-0.525330,-0.000130,26.115497,51.365242,137.700000,44.750000,56.125000,440.500000,10.132897,54.323498,-2.010414,0.090673,464.902483,458.653945,137.700000
