year,district_no,mild_winter_days,fungal_risk_days,VegetationVigorIndex,RootZoneDepletion
1981,01003,13,0,,
1982,01003,14,0,,
1983,01003,27,1,,
1984,01003,21,0,,
1985,01003,6,0,,
1986,01003,10,0,,
1987,01003,4,0,,
1988,01003,34,1,,
1989,01003,41,2,,0.006583105119022541
1990,01003,46,3,,0.0053052319006549045
1991,01003,19,1,,0.006406560317765394
1992,01003,34,0,,0.10965589081176334
1993,01003,22,3,,0.150682714270654
1994,01003,27,1,,0.004988153136301285
1995,01003,28,1,,0.0053273666826487666
1996,01003,1,0,,6.3287315
1997,01003,19,2,,0.11798589196213106
1998,01003,43,3,,0.076155380351324
1999,01003,25,3,,0.04011148294539599
2000,01003,38,1,,0.13749166611661892
2001,01003,21,3,0.1388321879595597,0.027830798053969118
2002,01003,30,8,0.054108615893731296,0.005913447151544247
2003,01003,13,0,-0.0641470727375424,0.1588137136394161
2004,01003,21,3,-0.0328239796897493,0.08129235423933935
2005,01003,20,1,0.0971393415669706,0.009045271584279318
2006,01003,8,0,-0.016234636191081397,0.24733557686099814
2007,01003,42,5,0.21916086797002438,0.021358515436049563
2008,01003,42,3,0.0035889239883230006,0.04370913155843623
2009,01003,12,0,0.1000753969385753,0.15928542192908599
2010,01003,3,0,-0.2735336993782638,0.4078822111564337
2011,01003,18,0,-0.3357217860127969,0.18739102473369992
2012,01003,24,2,0.034077926243911295,0.07924840642970969
2013,01003,16,1,-0.2251461297079685,0.07368274516181493
2014,01003,37,4,0.1199232875904445,0.07106484513765542
2015,01003,29,1,0.2932753390620202,0.07021700461589185
1981,01051,20,0,,
1982,01051,17,0,,
1983,01051,33,1,,
1984,01051,27,0,,
1985,01051,5,0,,
1986,01051,10,0,,
1987,01051,8,0,,
1988,01051,43,1,,
1989,01051,51,2,,0.004539182220931077
1990,01051,49,4,,0.0027716147843475825
1991,01051,22,1,,0.00559612747978399
1992,01051,39,0,,0.04047191069105583
1993,01051,32,2,,0.1357470082561597
1994,01051,31,0,,0.0035242166547430668
1995,01051,34,0,,0.003346882629846495
1996,01051,5,0,,1.0
1997,01051,28,3,,0.3153940989187656
1998,01051,42,1,,0.07110792776157607
1999,01051,31,3,,0.07121152923006283
2000,01051,42,1,,0.21818916734835528
2001,01051,25,3,0.1502656093364775,0.03097221792052529
2002,01051,38,7,0.0688780668817023,0.0029318849821521505
2003,01051,18,0,-0.084509549352978,0.10491508898759383
2004,01051,27,2,-0.026023634800990902,0.05417669756802311
2005,01051,27,3,0.032510597060568705,0.024410518284448762
2006,01051,15,0,0.08020108905817011,0.14172517766635412
2007,01051,46,7,0.1522411504150026,0.014320746500615392
2008,01051,47,3,-0.001209557960768201,0.019968427226688793
2009,01051,19,0,-0.009326144899820497,0.0267536261051652
2010,01051,4,0,-0.2474925061165285,0.11116336768356971
2011,01051,21,0,-0.2752002341130732,0.0999879135821121
2012,01051,30,1,-0.051975752039594,0.02111105197540686
2013,01051,17,0,-0.1906291809914187,0.05190859965777999
2014,01051,42,4,0.0612928299467098,0.03177935371151852
2015,01051,37,1,0.2588616903733202,0.050711544314209336
2016,01051,30,1,0.0108866036843253,0.004980334263461367
2017,01051,30,1,0.1243607605454006,0.025071526430039816
2018,01051,23,1,0.0639654769890358,0.004433311905659123
2019,01051,33,0,0.20889293530191402,0.005258480614611214
2020,01051,57,8,0.0905250367476099,0.026317706226222513
2021,01051,25,0,0.133463380184713,0.004527509145568474
2022,01051,51,3,0.10887209752923,0.05196143565595214
2023,01051,38,5,0.0672355812872214,0.051968587413584205
2024,01051,39,4,-0.20554384506622958,0.03447899019560389
1981,01053,15,0,,
1982,01053,15,0,,
1983,01053,28,1,,
1984,01053,24,0,,
1985,01053,8,0,,
1986,01053,10,0,,
1987,01053,5,0,,
1988,01053,34,1,,
1989,01053,38,2,,0.005576218543157143
1990,01053,48,4,,0.008512241488969972
1991,01053,19,1,,0.02093517245918905
1992,01053,32,0,,0.1383368841264839
