district_no,year,kreisYield,name,predicted_yield_lower,predicted_yield_median,predicted_yield_upper,error,abs_error,is_outside_interval,outlier_magnitude
07338,2017,392.1,Rhein-Pfalz-Kreis,740.1748590087891,876.4725846862793,988.700219116211,484.3725846862793,484.3725846862793,True,-348.0748590087891
15082,2018,270.9,Anhalt-Bitterfeld,555.851841430664,685.1022324371337,816.1399121093749,414.2022324371337,414.2022324371337,True,-284.951841430664
12063,2018,431.8,Havelland,696.0977807617187,827.0128427124023,956.719912109375,395.2128427124023,395.2128427124023,True,-264.2977807617187
05170,2018,433.7,Wesel,700.7710290527344,818.0830674743653,956.7199121093751,384.3830674743653,384.3830674743653,True,-267.07102905273445
15088,2018,362.6,Saalekreis,622.0710290527344,745.6518224334717,878.019912109375,383.05182243347167,383.05182243347167,True,-259.47102905273437
08111,2024,410.3,Stuttgart,615.1013735961914,784.415864868164,908.8283404541015,374.115864868164,374.115864868164,True,-204.80137359619135
05958,2014,820.0,Hochsauerlandkreis,332.36315490722654,461.27796127319334,562.7274584960937,-358.72203872680666,358.72203872680666,True,257.27254150390627
05558,2012,930.0,Coesfeld,458.7671560668945,573.662297668457,685.629224243164,-356.337702331543,356.337702331543,True,244.370775756836
08225,2022,424.7,Neckar-Odenwald-Kreis,612.3305593872071,778.1700674438478,889.362869873047,353.47006744384777,353.47006744384777,True,-187.63055938720714
05558,2014,1060.0,Coesfeld,586.4031549072266,712.6278367614747,816.7674584960938,-347.37216323852533,347.37216323852533,True,243.2325415039062
05116,2008,350.0,Mönchengladbach,574.0657485961914,694.5616096496582,791.2914794921875,344.5616096496582,344.5616096496582,True,-224.06574859619138
15089,2018,364.9,Salzlandkreis,579.9710290527344,708.7608392333984,835.919912109375,343.86083923339845,343.86083923339845,True,-215.0710290527344
15085,2018,411.2,Harz,627.6118414306641,753.6156904602051,887.899912109375,342.4156904602051,342.4156904602051,True,-216.41184143066408
08118,2024,424.7,Ludwigsburg,601.1013735961914,767.0892008972168,894.8283404541015,342.38920089721677,342.38920089721677,True,-176.40137359619138
03103,2018,446.3,Wolfsburg,637.8718414306641,772.6627655029297,898.159912109375,326.3627655029297,326.3627655029297,True,-191.57184143066405
05515,2011,975.0,Münster,537.6003451538086,657.310828704834,759.1076007080078,-317.68917129516603,317.68917129516603,True,215.8923992919922
05562,2007,280.0,Recklinghausen,490.47373229980474,597.2685225677491,709.7049182128907,317.2685225677491,317.2685225677491,True,-210.47373229980474
14730,2018,424.9,Nordsachsen,611.9910290527343,739.1412022399902,867.939912109375,314.24120223999023,314.24120223999023,True,-187.09102905273437
08225,2018,462.8,Neckar-Odenwald-Kreis,660.0766854858398,772.8380872583389,934.719912109375,310.03808725833886,310.03808725833886,True,-197.27668548583978
03357,2018,505.2,Rotenburg (Wümme),682.5110290527343,814.4533622741699,938.459912109375,309.2533622741699,309.2533622741699,True,-177.31102905273434
16063,2017,812.8,Wartburgkreis,354.05485900878904,503.65423568725583,602.5802191162109,-309.1457643127441,309.1457643127441,True,210.2197808837891
16075,2022,417.7,Saale-Orla-Kreis,569.530559387207,726.785514678955,846.5628698730468,309.085514678955,309.085514678955,True,-151.83055938720696
09677,2015,471.9,Main-Spessart,659.148576965332,777.0882456207275,897.6618444824219,305.18824562072757,305.18824562072757,True,-187.24857696533206
09678,2022,431.3,Schweinfurt,575.7505593872071,734.6050325012208,852.7828698730469,303.30503250122075,303.30503250122075,True,-144.45055938720708
07131,2017,874.7,Ahrweiler,446.23485900878904,576.3253207397461,694.7602191162109,-298.37467926025397,298.37467926025397,True,179.93978088378913
16069,2015,361.0,Hildburghausen,534.3685769653321,658.1004724121094,772.8818444824219,297.1004724121094,297.1004724121094,True,-173.36857696533207
09279,2013,545.1,Dingolfing-Landau,704.9594458007812,836.5687216186523,932.6762274169921,291.46872161865224,291.46872161865224,True,-159.85944580078115
03453,2022,570.0,Cloppenburg,699.7612448120117,861.4511518859863,975.7628698730468,291.4511518859863,291.4511518859863,True,-129.76124481201168
15081,2018,442.9,Altmarkkreis Salzwedel,595.9576815795897,731.9716242980955,856.0799121093748,289.07162429809557,289.07162429809557,True,-153.0576815795897
12063,2014,913.6,Havelland,490.8831549072265,625.6546621704101,721.2474584960937,-287.9453378295899,287.9453378295899,True,192.3525415039063
14729,2018,497.4,Leipzig,662.0910290527343,785.1655072021483,918.0399121093749,287.76550720214834,287.76550720214834,True,-164.69102905273428
15087,2018,475.5,Mansfeld-Südharz,637.2910290527343,762.2475128936767,893.2399121093749,286.7475128936767,286.7475128936767,True,-161.7910290527343
03251,2018,536.3,Diepholz,688.0510290527343,821.789794769287,943.9999121093749,285.4897947692871,285.4897947692871,True,-151.75102905273434
05366,2018,506.6,Euskirchen,688.0310290527344,789.5876062583924,943.979912109375,282.98760625839236,282.98760625839236,True,-181.4310290527344
05554,2023,991.2,Borken,564.3379586791992,708.7111352539063,864.0457604980469,-282.4888647460938,282.4888647460938,True,127.15423950195316
09372,2014,867.9,Cham,443.6431549072265,587.13491897583,674.0074584960937,-280.76508102416994,280.76508102416994,True,193.89254150390627
12064,2022,346.4,Märkisch-Oderland,471.4812448120117,626.9252565002441,747.4828698730469,280.52525650024415,280.52525650024415,True,-125.08124481201173
06636,2018,455.6,Werra-Meißner-Kreis,625.6110290527345,733.725315475464,881.5599121093751,278.12531547546394,278.12531547546394,True,-170.01102905273444
09671,2015,481.0,Aschaffenburg,641.548576965332,758.4276453399658,880.0618444824219,277.4276453399658,277.4276453399658,True,-160.54857696533202
05382,2018,464.3,Rhein-Sieg-Kreis,631.4310290527344,741.3879544448853,887.379912109375,277.08795444488527,277.08795444488527,True,-167.1310290527344
15091,2018,308.6,Wittenberg,456.89184143066404,584.9427066040039,717.179912109375,276.34270660400387,276.34270660400387,True,-148.29184143066402
15086,2018,443.2,Jerichower Land,583.8718414306641,718.9110450744629,844.159912109375,275.7110450744629,275.7110450744629,True,-140.67184143066407
08416,2024,886.0,Tübingen,462.50137359619134,612.5713217926025,746.663276977539,-273.4286782073975,273.4286782073975,True,139.336723022461
09671,2003,357.2,Aschaffenburg,548.1927291870117,628.5642296791076,756.5924865722656,271.3642296791076,271.3642296791076,True,-190.99272918701166
05958,2024,833.7,Hochsauerlandkreis,404.00137359619134,562.5727275085449,688.163276977539,-271.1272724914552,271.1272724914552,True,145.53672302246105
09675,2022,504.7,Kitzingen,613.130559387207,772.2122358703613,890.1628698730468,267.5122358703613,267.5122358703613,True,-108.43055938720698
