district_no,r2,mae,avg_deviation,name,data_point_count,is_low_data
01003,0.403523302876895,44.52929036736486,107.93614612519741,Lübeck,16,False
01051,0.5387677376130885,50.078478642377014,132.4736132621765,Dithmarschen,22,False
01053,0.6946446956449919,40.93694358912377,115.745650454001,Herzogtum Lauenburg,22,False
01054,0.5863241202643188,65.63697797288003,131.77180380821227,Nordfriesland,20,False
01055,0.25631195312913413,47.20887488067149,110.88955521024764,Ostholstein,16,False
01056,0.0634767666268562,33.15997809410097,107.57952648401259,Pinneberg,8,True
01057,0.6207186241633231,39.03100480616092,108.08731633424759,Plön,16,False
01058,0.7720048874190937,36.11873134352945,125.7329389182004,Rendsburg-Eckernförde,22,False
01059,0.596051571547443,51.03704499114645,123.51442951505834,Schleswig-Flensburg,22,False
01060,0.5710944016499744,55.87697843811727,118.54300691864707,Segeberg,22,False
01061,0.7678649470570702,39.543886296640714,130.2815202366222,Steinburg,22,False
01062,0.6387091617638878,39.762906249761585,104.3125487677753,Stormarn,16,False
03102,0.5561775781841132,52.65883813164452,126.07443534786051,Salzgitter,22,False
03103,0.19454673992406046,62.27232171201708,118.1944247663021,Wolfsburg,20,False
03151,0.6710720626413852,42.616934180693185,120.14296732707457,Gifhorn,22,False
03153,0.5231251898857319,56.25191198869183,140.75800948996437,Goslar,22,False
03155,0.762175329832169,43.07987617752769,131.5349119684913,Northeim,22,False
03157,0.5784790960649454,46.765940185351816,121.47632533853704,Peine,22,False
03158,0.601473739673718,46.8823393643986,125.28969542546706,Wolfenbüttel,22,False
03241,0.7167506830797722,42.562145183064665,115.75685940547423,Region Hannover,22,False
03251,0.2281057487125976,64.00814103061502,116.78636769814925,Diepholz,22,False
03252,0.7154899731050617,46.416302143443716,131.010904350064,Hameln-Pyrmont,22,False
03254,0.6951155118226016,42.64159248352049,128.77907686883754,Hildesheim,22,False
03255,0.6163514102536011,49.0157087794217,134.5971541079608,Holzminden,22,False
03256,0.6453052333218179,50.54598148389296,118.22043048251759,Nienburg (Weser),22,False
03257,0.5448496853821501,50.011359911398465,123.71463926271959,Schaumburg,22,False
03351,0.5044503342656181,51.808978356231364,118.78556479005651,Celle,22,False
03352,0.24696159317523692,82.802570861158,131.45070485770702,Cuxhaven,8,True
03353,0.5655225351728368,50.49667071602564,112.84181317145175,Harburg,22,False
03354,0.6254278429814177,49.46711975097655,118.42914710261606,Lüchow-Dannenberg,22,False
03355,0.6913222885521253,43.111541864221756,114.08977211063558,Lüneburg,22,False
03356,-5.356487545349542,128.36219169559084,136.26756200790405,Osterholz,5,True
03357,0.34260794905689806,74.96110051805323,118.69205447760496,Rotenburg (Wümme),22,False
03358,0.579718094703572,58.20905736576428,115.02375143766403,Heidekreis,22,False
03359,0.5634376945521709,53.99979906165884,127.07687664031982,Stade,21,False
03360,0.5165801590643659,43.06665436224504,116.52557569234209,Uelzen,22,False
