Threshold,Downside_Trust,Upside_Trust,MAE,Skill_Pct
0.08,0.1,0.5,69.87406592910763,0.3602812316281456
0.08,0.1,0.2,69.8966247209594,0.32811262019877274
0.06,0.1,0.2,69.91235213372047,0.30568548698945985
0.06,0.1,0.5,69.92854347178398,0.28259680094150363
0.1,0.1,0.2,69.93439203668247,0.2742568059242556
0.1,0.1,0.5,69.93565989295058,0.2724488555736704
0.1,0.1,0.0,69.95092646839919,0.25067887176023484
0.08,0.1,0.0,69.95153432171925,0.2498120790087599
0.06,0.1,0.0,69.95907023502009,0.23906594205544973
0.04,0.1,0.2,70.0193557286744,0.15309943139580895
0.04,0.1,0.0,70.05487063111998,0.10245553591454737
0.02,0.1,0.2,70.0679119839942,0.08385869722387085
0.04,0.1,0.5,70.08457614160017,0.06009577523997667
0.15,0.1,0.5,70.09449971322809,0.04594486140612197
0.15,0.1,0.2,70.09768870172456,0.04139739572311951
0.02,0.1,0.0,70.10537250325265,0.03044037163770774
0.15,0.1,0.0,70.10548713205105,0.030276912118309962
0.02,0.1,0.5,70.17286520337767,-0.0658035433249271
0.1,0.3,0.2,70.28364304808379,-0.2237716412953894
0.1,0.3,0.5,70.28491090435189,-0.22557959164597463
0.1,0.3,0.0,70.30017747980048,-0.24734957545937686
0.08,0.3,0.5,70.36379977557827,-0.33807433255492736
0.08,0.3,0.2,70.38635856743004,-0.37024294398431135
0.08,0.3,0.0,70.44126816818991,-0.4485434851743353
0.06,0.3,0.2,70.47506677854952,-0.49673996531633957
0.15,0.3,0.5,70.48834128299154,-0.5156692758095272
0.06,0.3,0.5,70.491258116613,-0.5198286513642625
0.15,0.3,0.2,70.49153027148802,-0.5202167414925185
0.15,0.3,0.0,70.49932870181452,-0.5313372250973503
0.06,0.3,0.0,70.52178487984912,-0.5633595102503275
0.04,0.3,0.2,70.85488781717935,-1.0383609654422532
0.04,0.3,0.0,70.89040271962493,-1.0890048609235148
0.04,0.3,0.5,70.9201082301051,-1.1313646215980633
0.02,0.3,0.2,71.01599770803706,-1.2681020575400437
0.02,0.3,0.0,71.05345822729555,-1.3215203831262512
0.02,0.3,0.5,71.12095092742055,-1.4177642980888638
0.15,0.5,0.5,71.32149381963154,-1.7037364555009038
0.15,0.5,0.2,71.32468280812802,-1.7082839211839174
0.15,0.5,0.0,71.33248123845452,-1.7194044047887491
0.1,0.5,0.2,71.44229660656119,-1.8760000207601157
0.1,0.5,0.5,71.44356446282931,-1.8778079711107454
0.1,0.5,0.0,71.45883103827789,-1.8995779549241254
0.08,0.5,0.5,71.78524544069211,-2.3650416262595897
0.08,0.5,0.2,71.80780423254387,-2.3972102376889737
0.08,0.5,0.0,71.86271383330373,-2.4755107788789754
0.06,0.5,0.2,72.06637782091579,-2.7659335870994006
0.06,0.5,0.5,72.08256915897928,-2.7890222731473457
0.06,0.5,0.0,72.1130959222154,-2.8325531320333885
0.04,0.5,0.2,72.79543399449568,-3.8055603947843464
0.04,0.5,0.0,72.83094889694124,-3.8562042902655636
0.04,0.5,0.5,72.86065440742144,-3.8985640509401565
0.15,0.8,0.5,73.02583132612952,-4.134104684052864
0.15,0.8,0.2,73.029020314626,-4.138652149735855
0.15,0.8,0.0,73.03681874495251,-4.149772633340709
0.02,0.5,0.2,73.09044459603896,-4.22624256034323
0.02,0.5,0.0,73.12790511529745,-4.279660885929437
0.02,0.5,0.5,73.19539781542245,-4.37590480089205
0.1,0.8,0.2,74.15859758435093,-5.749418032412956
0.1,0.8,0.5,74.15986544061904,-5.751225982763564
0.1,0.8,0.0,74.17513201606765,-5.772995966576988
0.15,1.0,0.5,74.28832497235824,-5.934407989498314
0.15,1.0,0.2,74.29151396085472,-5.938955455181305
0.15,1.0,0.0,74.29931239118122,-5.950075938786137
0.08,0.8,0.5,75.14515017234532,-7.156232150224628
0.08,0.8,0.2,75.1677089641971,-7.188400761654012
0.08,0.8,0.0,75.22261856495696,-7.266701302844036
0.06,0.8,0.2,75.88932609302493,-8.217419565966821
0.06,0.8,0.5,75.90551743108841,-8.240508252014745
0.06,0.8,0.0,75.93604419432454,-8.284039110900832
0.1,1.0,0.2,76.38717923839657,-8.927353169130958
0.1,1.0,0.5,76.38844709466468,-8.929161119481543
0.1,1.0,0.0,76.40371367011326,-8.950931103294945
0.04,0.8,0.2,77.22945505595145,-10.128430056108106
0.04,0.8,0.0,77.264969958397,-10.179073951589324
0.04,0.8,0.5,77.2946754688772,-10.221433712263917
0.02,0.8,0.2,77.77136918076927,-10.901194175033702
0.02,0.8,0.0,77.80882970002773,-10.954612500619865
0.02,0.8,0.5,77.87632240015274,-11.0508564155825
0.08,1.0,0.5,77.9282622977133,-11.124922189728847
0.08,1.0,0.2,77.95082108956507,-11.157090801158231
0.08,1.0,0.0,78.00573069032494,-11.235391342348255
0.06,1.0,0.2,79.10593854255733,-12.804276729587794
0.06,1.0,0.5,79.12212988062083,-12.82736541563576
0.06,1.0,0.0,79.15265664385694,-12.870896274521805
0.04,1.0,0.2,80.92917518506879,-15.404193936242795
0.04,1.0,0.0,80.96469008751434,-15.45483783172401
0.04,1.0,0.5,80.99439559799454,-15.497197592398603
0.02,1.0,0.2,81.65806109987575,-16.44357795662137
0.02,1.0,0.0,81.69552161913424,-16.496996282207576
0.02,1.0,0.5,81.76301431925926,-16.59324019717021
