year,district_no,trend_pred,kreisYield,xgb_pred,Super_Ensemble_pred,Predicted_Best_Model
1989,01002,405.7100818037564,457.0,405.7100818037564,405.7100818037564,Statistical_Trend_pred
1990,01002,466.14066424741793,488.4,466.14066424741793,466.14066424741793,Statistical_Trend_pred
1991,01002,508.1307381830418,462.6,508.1307381830418,508.1307381830418,Statistical_Trend_pred
1992,01002,499.31201537453546,440.8,499.31201537453546,499.31201537453546,Statistical_Trend_pred
1993,01002,466.3803528949935,481.3,466.3803528949935,466.3803528949935,Statistical_Trend_pred
1994,01002,476.0581282191976,428.2,476.0581282191976,476.0581282191976,Statistical_Trend_pred
1995,01002,450.3933723626701,442.7,450.3933723626701,450.3933723626701,Statistical_Trend_pred
1996,01002,436.95706256683184,444.1,436.95706256683184,436.95706256683184,Statistical_Trend_pred
1997,01002,435.0822319847042,487.6,435.0822319847042,435.0822319847042,Statistical_Trend_pred
1998,01002,461.38369328428007,448.4,461.38369328428007,461.38369328428007,Statistical_Trend_pred
1999,01002,461.88208039769046,542.4,461.88208039769046,461.88208039769046,Statistical_Trend_pred
2000,01002,502.4321743365629,515.1,502.4321743365629,502.4321743365629,Statistical_Trend_pred
2001,01002,529.7841527347052,501.4,529.7841527347052,529.7841527347052,Statistical_Trend_pred
2002,01002,530.5357594098317,527.7,530.5357594098317,530.5357594098317,Statistical_Trend_pred
2003,01002,537.367433082473,475.4,537.367433082473,537.367433082473,Statistical_Trend_pred
2004,01002,520.5872146872035,544.3,520.5872146872035,520.5872146872035,Statistical_Trend_pred
2005,01002,528.0009174690422,549.2,528.0009174690422,528.0009174690422,Statistical_Trend_pred
2006,01002,546.2376842063873,547.6,546.2376842063873,546.2376842063873,Statistical_Trend_pred
2007,01002,557.0157912238303,507.3,557.0157912238303,557.0157912238303,Statistical_Trend_pred
2008,01002,547.1648317519058,550.9,547.1648317519058,547.1648317519058,Statistical_Trend_pred
2009,01002,547.1924445982196,696.1,547.1924445982196,547.1924445982196,Statistical_Trend_pred
2010,01002,606.5232444236507,643.5,606.5232444236507,606.5232444236507,Statistical_Trend_pred
2011,01002,651.7643164814177,717.7,651.7643164814177,651.7643164814177,Statistical_Trend_pred
2012,01002,697.7223691308691,650.0,697.7223691308691,697.7223691308691,Statistical_Trend_pred
2013,01002,711.8440020581631,770.0,711.8440020581631,711.8440020581631,Statistical_Trend_pred
2014,01002,747.4654404699581,898.5,747.4654404699581,747.4654404699581,Statistical_Trend_pred
2015,01002,829.5326065207314,701.3,829.5326065207314,829.5326065207314,Statistical_Trend_pred
1989,01003,417.0921825637483,468.0,417.0921825637483,417.0921825637483,Statistical_Trend_pred
1990,01003,478.340903675693,473.3,478.340903675693,478.340903675693,Statistical_Trend_pred
1991,01003,498.2986050381437,462.5,498.2986050381437,498.2986050381437,Statistical_Trend_pred
1992,01003,489.68238463791386,425.8,489.68238463791386,489.68238463791386,Statistical_Trend_pred
1993,01003,449.520600193878,530.2,449.520600193878,449.520600193878,Statistical_Trend_pred
1994,01003,501.69938221020425,464.4,501.69938221020425,501.69938221020425,Statistical_Trend_pred
1995,01003,498.6109213283268,463.0,498.6109213283268,498.6109213283268,Statistical_Trend_pred
1996,01003,479.2216439486308,498.3,479.2216439486308,479.2216439486308,Statistical_Trend_pred
1997,01003,488.77286267025886,509.6,488.77286267025886,488.77286267025886,Statistical_Trend_pred
1998,01003,506.83554999297377,525.5,506.83554999297377,506.83554999297377,Statistical_Trend_pred
1999,01003,525.9781025171646,536.4,525.9781025171646,525.9781025171646,Statistical_Trend_pred
2000,01003,543.0741512606211,567.0,543.0741512606211,543.0741512606211,Statistical_Trend_pred
2001,01003,567.0554935292355,536.9,567.0554935292355,567.0554935292355,Statistical_Trend_pred
2002,01003,570.6144573279223,516.2,570.6144573279223,570.6144573279223,Statistical_Trend_pred
2003,01003,553.4913364089172,539.7,553.4913364089172,553.4913364089172,Statistical_Trend_pred
2004,01003,547.0248896916348,582.4,547.0248896916348,547.0248896916348,Statistical_Trend_pred
2005,01003,564.3490576434966,611.9,564.3490576434966,564.3490576434966,Statistical_Trend_pred
2006,01003,594.9507284953721,610.2,594.9507284953721,594.9507284953721,Statistical_Trend_pred
2007,01003,617.0139696145104,624.5,617.0139696145104,617.0139696145104,Statistical_Trend_pred
2008,01003,634.3383923813142,613.8,634.3383923813142,634.3383923813142,Statistical_Trend_pred
2009,01003,641.2867965909893,662.3,641.2867965909893,641.2867965909893,Statistical_Trend_pred
2010,01003,659.1396853661224,643.5,659.1396853661224,659.1396853661224,Statistical_Trend_pred
2011,01003,670.2094069056703,707.8,670.2094069056703,670.2094069056703,Statistical_Trend_pred
2012,01003,693.2230185096076,650.0,693.2230185096076,693.2230185096076,Statistical_Trend_pred
