rank,index,district,year,actual_yield,predicted_yield,error,shap_antecedent_frost_days_anomaly,shap_antecedent_heavy_precip_days_anomaly,shap_antecedent_gdd_sum_anomaly,shap_spring_temp_anomaly_forecast,shap_spring_precip_anomaly_forecast,shap_spring_solar_rad_anomaly_forecast,shap_spring_evaporation_anomaly_forecast,shap_spring_runoff_anomaly_forecast,shap_spring_soil_temp_l1_anomaly_forecast,shap_spring_snowfall_anomaly_forecast,shap_summer_temp_anomaly_forecast,shap_summer_precip_anomaly_forecast,shap_summer_solar_rad_anomaly_forecast,shap_summer_evaporation_anomaly_forecast,shap_summer_runoff_anomaly_forecast,shap_summer_soil_temp_l1_anomaly_forecast,shap_summer_snowfall_anomaly_forecast,shap_spring_temp_prob_warm_forecast,shap_spring_precip_prob_wet_forecast,shap_spring_solar_rad_prob_wet_forecast,shap_spring_evaporation_prob_wet_forecast,shap_spring_runoff_prob_wet_forecast,shap_spring_soil_temp_l1_prob_warm_forecast,shap_spring_snowfall_prob_wet_forecast,shap_summer_temp_prob_warm_forecast,shap_summer_precip_prob_wet_forecast,shap_summer_solar_rad_prob_wet_forecast,shap_summer_evaporation_prob_wet_forecast,shap_summer_runoff_prob_wet_forecast,shap_summer_soil_temp_l1_prob_warm_forecast,shap_summer_snowfall_prob_wet_forecast,shap_lat,shap_lon,shap_avg_elevation,shap_avg_slope,shap_avg_bdod_0_30cm,shap_avg_clay_0_30cm,shap_avg_sand_0_30cm,shap_avg_som_0_30cm,shap_avg_phh2o_0_30cm,shap_avg_bdod_0_100cm,shap_avg_clay_0_100cm,shap_avg_sand_0_100cm,shap_avg_som_0_100cm,shap_avg_phh2o_0_100cm,shap_winter_cropland_ndvi_mean,shap_winter_cropland_ndvi_anomaly,shap_winter_cropland_LST_mean,shap_winter_cropland_LST_anomaly,shap_winter_cropland_snow_cover_days,shap_national_avg_yield_lag1,shap_producer_price_index_lag1,shap_seed_price_index_lag1,shap_energy_price_index_lag1,shap_fertilizer_price_index_lag1,shap_plant_protection_price_index_lag1,shap_profit_margin_proxy_lag1,shap_cost_of_inputs_lag1,shap_producer_price_index_lag1_anomaly,shap_seed_price_index_lag1_anomaly,shap_energy_price_index_lag1_anomaly,shap_fertilizer_price_index_lag1_anomaly,shap_plant_protection_price_index_lag1_anomaly,shap_fertilizer_price_index_lag1_anomaly_capped,shap_is_fertilizer_price_extreme,shap_is_summer_forecast_dry,shap_gdd_x_fertilizer_price,shap_spring_temp_x_spring_precip,shap_antecedent_gdd_sum_anomaly_sq,shap_summer_heat_x_profit_margin,shap_summer_precip_x_input_costs,shap_spring_temp_prob_warm_forecast_sq,shap_summer_temp_prob_warm_forecast_sq,shap_spring_precip_prob_wet_forecast_sq,shap_summer_precip_prob_wet_forecast_sq
1,4003,7338.0,2017.0,392.1,1003.0807733154297,610.9807733154297,3.9199898,-0.47222924,2.4825408,3.205792,0.64160043,2.5552871,1.7603183,-0.11933266,5.0193543,0.7475707,1.9402872,-2.9613934,0.7363788,3.6479065,0.6884934,0.2776752,0.27088523,0.67374074,0.21938077,1.7891984,1.669109,-1.2378752,3.3332255,-0.66128516,0.043987565,-0.40285864,0.42326072,0.5531357,0.35007748,-0.32617673,0.28703105,-0.4369987,-4.792893,-0.49949145,2.4878585,-0.0407997,4.4624715,0.18029948,-2.983695,5.62926,-0.9493547,1.6982725,-0.2902853,-0.75235164,-0.96290284,0.40079728,0.72884256,4.2542396,-0.919679,0.48739898,2.3780694,0.5897196,1.6585631,-1.2066722,-5.237832,-2.918788,-1.1425341,0.6985634,24.675411,15.93218,35.55562,10.489991,0.40627527,15.229543,-0.022327159,0.0,3.8950384,3.3824666,4.447262,-0.709069,2.240499,0.0025445127,-0.014539871,0.05411067,0.032759205
2,8440,15082.0,2018.0,270.9,741.1930966186524,470.2930966186524,0.1027837,-1.0188265,-0.6139671,1.1457275,-2.4702747,-1.6343058,1.2196139,0.5724346,0.081883036,1.2977071,1.6974756,3.1728604,3.4331574,2.3463085,2.6068633,-1.1492358,0.3952783,0.084206976,3.0097506,-3.4951003,0.561253,1.299353,2.0341973,0.95050013,-0.10669641,-0.18395111,0.011783791,1.2731136,0.30387786,-0.807076,0.031621836,1.3893994,5.814874,-0.5077602,0.730119,1.7541261,-0.47750494,0.52481794,-0.75690573,-0.1270226,-1.0383054,-0.64764947,-0.5633808,0.6057404,-0.8105137,-1.64148,-12.240017,4.570708,-1.2321469,0.97674704,1.3990335,-2.51248,1.3343048,-2.9734247,-5.422606,-4.080653,-0.69181305,0.14130943,22.168217,14.534608,0.55370003,10.720507,-0.38618967,15.698467,-0.019043988,0.0,0.8435898,0.86409146,7.320427,-7.374448,4.0639477,-0.034468472,-0.035336427,-0.2824056,-0.040318448
3,8680,15088.0,2018.0,362.6,809.6997140502929,447.09971405029285,0.8539957,1.6126491,-1.1219027,2.1567297,-3.1190515,-1.389443,2.5544875,0.95420355,-0.19108641,2.4889817,2.3206701,3.328477,3.3868327,2.7162867,0.6851381,1.8562262,0.06514946,1.2003703,3.766209,-5.0286756,-0.49414855,-0.24521641,2.121269,-0.30586365,-0.010788361,-0.17694536,-0.25270167,1.4068639,0.8666153,-0.8708589,0.01881037,2.366721,6.40484,-2.0064096,-0.2698753,0.47197768,0.44786978,0.11562751,0.17116265,-0.7367398,-0.631357,0.6887099,0.9258853,-0.66443115,-1.5607573,-1.9220622,-4.646018,-0.06171114,-0.23497607,0.5592942,1.488617,-1.6163341,1.345396,-2.9865177,-6.3301845,-4.0613866,-1.3445445,-0.40333593,22.916597,14.314257,0.5039225,9.585286,-0.4505555,16.48249,-0.015278105,0.0,-2.0631835,1.1678665,8.715503,-7.6266556,4.0741115,-0.02470528,-0.036947906,0.70356953,-0.017217018
4,1869,5170.0,2018.0,433.7,841.3948655700684,407.69486557006843,-0.40977377,0.7190753,-0.16049613,0.970541,-0.7907267,0.20853734,-3.5993526,2.0373363,-0.08466719,2.3556967,1.2779989,3.229217,4.174373,9.027935,0.79302895,0.26308113,0.2623002,0.02901794,-0.9911055,-3.7915096,-0.25221118,-0.41003406,-2.1831105,0.6516213,0.09748116,0.2646664,0.024853965,-1.2086735,0.5390932,-1.0781589,0.009416055,2.0060973,-9.978114,-0.4267528,-0.20321764,-1.0239934,-1.1650324,0.31776503,-0.17621492,0.20572814,-0.7955382,0.20747024,-0.50740004,-0.40364638,0.6422701,-1.5104723,2.036881,0.932831,-0.22847503,0.83933616,0.5653388,-1.280493,0.9892805,-2.9896572,-4.368906,-6.9981346,-1.3093717,0.1958415,25.549551,14.255463,0.24943702,9.398818,-1.4361018,13.054962,-0.024083909,0.0,-11.265737,-3.1271808,1.2138408,-7.8134947,0.92348,-0.022101525,-0.0135845635,-0.5823528,-0.022884224
5,7451,12063.0,2018.0,431.8,834.6168466186524,402.8168466186524,2.5928137,-2.7811878,-0.7166722,1.2002969,-0.35651603,-2.751165,-0.15914065,-2.1544294,0.8298757,0.4497856,2.0685987,2.0313053,3.1557832,3.100806,-7.7582192,-1.8779001,0.27386296,-0.19761197,2.583655,-1.4700755,-0.44639534,-5.7296667,1.0778221,0.19038771,0.073257715,0.19564669,0.04565049,-0.18748921,-11.513577,-0.71822125,0.8498881,2.1710353,5.3237295,-0.51169914,-0.287931,1.3789586,-0.9703833,-1.7909976,-0.19420868,0.53796417,-1.1066889,0.025338933,-0.59406346,-0.19572584,-0.10627903,-3.6815326,-13.948231,-1.5107013,0.8137814,0.9332559,1.2131265,-3.374041,1.1074333,-2.9216561,-4.316927,-4.2193003,0.57645273,0.7367359,24.041111,14.69816,-0.30839884,5.7440724,-0.33504322,13.558961,-0.019043988,0.0,5.1996818,0.8736169,6.967083,-8.3715,1.7674395,-0.034978613,-0.016508939,0.37504303,-0.019439097
6,8720,15089.0,2018.0,364.9,754.664541015625,389.764541015625,0.9662103,-1.3522922,-1.2228023,1.0776983,-3.316667,-1.2521422,2.3171659,1.8820156,-0.15586343,1.1018391,1.3954697,2.771113,3.4942412,2.4521387,0.89935285,-1.472082,0.041496906,0.45630994,2.5160985,-4.3615055,-0.28329748,-0.5704952,2.122344,0.36584705,-0.12056452,-0.19287352,0.24467511,1.5347443,0.7769434,-1.1455619,0.07770995,2.9243963,6.0589495,-0.19239329,-0.19077493,2.4494162,0.081544876,-1.4559596,0.36768362,-0.627266,-0.7964143,0.97453284,-0.0710116,-0.85639614,-1.813902,-1.8453038,-12.0621605,1.5875945,-0.09717122,0.502455,1.5285447,-1.8769317,1.2944977,-2.9761808,-5.719986,-4.025109,-1.3444321,0.0953576,23.863897,14.695031,0.5161739,8.434977,-0.43221503,16.71338,-0.015278105,0.0,2.007573,0.71605814,8.690341,-7.89118,1.3126874,-0.02470528,-0.035336427,0.46418333,-0.01983051
7,8560,15085.0,2018.0,411.2,796.0808889770508,384.8808889770508,1.2623106,2.325888,-1.8968832,2.034846,-4.782783,-0.9403508,1.3128593,1.3180348,0.22067775,2.7308812,0.745926,4.276635,4.0506225,3.8769877,0.4261547,-1.2490003,-0.2640932,0.34355244,4.075259,-4.2768073,-0.28578967,1.365434,2.1181962,0.63268614,-0.12036259,-0.19523057,0.16879696,-0.5373173,0.8126288,-0.9727865,0.10435524,2.3712099,3.8312104,-0.8063841,-0.31897253,-0.14239517,3.1154153,0.01674794,-0.51622605,-0.45768553,-0.584257,0.4030074,0.44851533,-0.46504277,-0.39436617,-2.345834,-8.4024935,-1.8642937,-0.22377199,-0.47212365,1.5319376,-1.2966726,1.4852557,-2.9701371,-6.503672,-4.563825,-1.0240793,-0.25930873,24.88193,14.537955,0.6263163,7.152048,-0.25036123,18.12119,-0.015278105,0.0,-7.736736,0.7642405,1.6947905,-9.019964,1.3718681,-0.024407394,-0.035336427,1.0821804,-0.030573245
8,516,3103.0,2018.0,446.3,829.8420486450195,383.5420486450195,1.6292425,-0.5952951,-1.4227542,2.2184339,-4.285945,-0.7337716,0.21208455,1.2327038,0.29914978,1.745617,2.3078957,3.7801487,3.355746,2.7443287,0.66396827,1.5726041,-0.20709294,0.47384134,2.690417,-3.9584577,-0.19821224,1.6161499,1.6988839,0.5563864,-0.0372552,-0.23714823,0.09565871,-1.2524354,0.513998,-0.9906121,0.09952677,2.9608958,2.9463062,-0.32416448,-0.3742381,-0.17467089,-0.8491526,0.4959075,-0.3096629,0.34658962,-0.49504545,1.0151379,-0.71115404,0.12000893,0.58049047,-0.43880087,0.6057576,-1.5293138,-0.099316485,0.61103594,1.5662441,-1.8036509,1.5094895,-2.9475431,-6.171768,-4.5607705,-1.0284356,0.31827563,24.719347,14.092567,0.56620616,9.064769,-0.49626222,14.198517,-0.019043988,0.0,4.057025,0.21522108,8.806936,-9.017725,1.2583808,-0.016098725,-0.016508939,0.6647021,-0.030181836
9,8289,14730.0,2018.0,424.9,798.0565045166015,373.15650451660156,0.8063006,-2.3142781,0.12294199,1.3179938,-3.0902896,-1.3987689,1.6253191,1.468011,-0.31113952,1.3729202,3.0952969,3.3544261,3.62231,2.4555347,0.681817,2.418255,0.16890657,-0.026471836,0.0996078,-1.3877718,-0.30815995,-0.43226996,1.9343307,-0.008293155,0.0028251035,0.053675488,-0.48489514,1.3159333,1.2373298,-0.7434245,0.26095966,2.4618313,8.529984,-0.28636914,-0.6263763,2.5248404,-1.0544614,0.4488619,-0.19107649,-0.39482346,0.25819212,-0.6538035,-0.7331676,0.18745744,-0.28972748,-1.2394319,-9.504421,-1.2797009,-0.16967417,0.26758605,1.2542881,-2.2900257,1.2715397,-2.0039883,-5.2076263,-4.4342084,-0.72076756,0.67485553,23.242104,14.478705,0.29544473,10.157412,-0.37861326,15.799726,-0.023250682,0.0,-0.15506178,0.87459296,8.301747,-7.3828535,4.4772243,-0.04464235,-0.036947906,0.032046147,-0.017743763
10,1232,3357.0,2018.0,505.2,868.3171279907226,363.1171279907226,0.8448847,-0.26446474,-0.12799355,1.3200842,0.1507197,-0.91362035,-3.8588517,1.2350254,0.109097436,0.9224244,2.1605155,3.798143,4.20513,7.9097753,2.4077477,0.34751114,-0.1107119,1.2737265,2.5003378,-2.0418668,-0.2566047,1.1751866,2.0487275,0.5923306,-0.0038806116,-0.832454,0.104967356,-0.15662372,0.4912682,-1.0352569,-0.10751474,2.815406,-1.8330818,-1.0918628,-0.06713484,-0.65668845,-1.2937434,-1.1124774,1.2028644,0.20087458,0.40674132,0.093222216,-0.61033213,-0.5457489,0.078411676,-1.5452329,-0.17562106,-1.4924986,0.19846664,0.7313396,0.43966603,-1.7961209,1.3393502,-2.8224757,-5.258194,-6.356621,-0.59173995,0.5698835,30.585253,14.536328,-0.22308943,9.193086,-0.898645,15.964384,-0.019877216,0.0,1.1422863,0.36323595,7.947829,-8.678017,-2.0646796,-0.034461882,-0.016508939,0.5875025,-0.02983858
