rank,index,district,year,actual_yield,predicted_yield,error,shap_avg_elevation,shap_avg_soil_pawc,shap_profit_margin_proxy_lag1,shap_cost_of_inputs_lag1,shap_plant_protection_price_index_lag1_anomaly,shap_antecedent_frost_days_anomaly,shap_antecedent_heavy_precip_days_anomaly,shap_antecedent_gdd_sum_anomaly,shap_spring_temp_anomaly_forecast,shap_spring_precip_anomaly_forecast,shap_summer_temp_anomaly_forecast,shap_summer_precip_anomaly_forecast,shap_spring_temp_prob_warm_forecast,shap_spring_precip_prob_wet_forecast,shap_summer_temp_prob_warm_forecast,shap_summer_precip_prob_wet_forecast,shap_summer_heat_x_profit_margin,shap_summer_precip_x_input_costs,shap_spring_temp_anomaly_forecast_sq,shap_summer_temp_anomaly_forecast_sq,shap_spring_precip_anomaly_forecast_sq,shap_summer_precip_anomaly_forecast_sq,shap_fertilizer_price_index_lag1_anomaly_capped,shap_is_fertilizer_price_extreme,shap_is_summer_forecast_dry,shap_gdd_x_fertilizer_price,shap_spring_temp_x_spring_precip,shap_antecedent_gdd_sum_anomaly_sq
1,4121,7338.0,2017.0,392.1,878.9540299987793,486.8540299987793,-0.34228516,-0.5816828,-2.9076414,-1.7347019,-0.06058505,1.774218,-1.5415412,1.1310818,9.588616,-3.5846922,-0.08833907,3.0177464,-0.85352856,-4.1161966,-5.5793056,-6.2414646,0.7233665,-1.6162986,4.266501,-1.8047255,-3.060579,1.0480397,23.685884,2.847166,-0.59489065,9.459791,1.1082641,3.3782172
2,3672,7131.0,2017.0,874.7,510.94936706542967,-363.7506329345704,-1.3407154,-1.2143621,-3.7505689,0.5001078,3.7042296,5.013767,-1.4772938,1.7899173,5.143185,0.62133086,0.5506396,-1.5743892,-0.33101767,1.2576977,-17.421429,-11.635833,-1.2543106,-1.1521194,3.5188625,-1.4364119,-2.4998467,-0.48408157,-28.417284,-0.04093761,-0.3185469,-14.789983,-2.2340875,22.529263
3,8710,15082.0,2018.0,270.9,634.4789643096923,363.5789643096923,0.30552554,-1.0160722,-2.5994,-1.0694784,0.80809903,2.228074,1.0937581,-0.5732469,-4.1492376,-2.4178772,2.7519388,0.38885018,-3.552553,2.197612,0.28497645,-18.731073,-0.46971017,0.60170144,2.7981377,2.66452,-4.4661202,-0.6193711,19.710377,-0.026844852,-1.3250797,-28.96175,-1.6090698,-0.4212851
4,1918,5170.0,2018.0,433.7,790.6924310302735,356.9924310302735,1.5132375,-0.7947429,-2.9567466,-2.2256823,1.1350498,1.0378247,-0.6962915,-0.6441104,-2.435178,-1.7880886,2.0296094,0.75392765,-2.569174,1.7595707,-6.3621163,-20.34185,-0.28748965,0.89575404,1.7042159,2.825224,-3.2359803,-0.21201733,16.217396,-0.026844852,-1.3136545,-1.5231775,-1.561461,-1.4383503
5,7691,12063.0,2018.0,431.8,777.1847081756592,345.3847081756592,1.6632442,4.742225,-2.2521513,-0.91849655,0.9124883,2.063662,1.0257548,-0.6767729,-2.5663967,-0.6775348,2.6028624,0.41256154,-3.8384614,2.1219983,-5.958413,-18.516523,-0.79025304,0.10035499,3.1884348,2.149257,-4.124365,-0.16583036,20.022926,-0.026806053,-1.2438083,-29.93936,-2.4988859,-0.86059606
6,9247,16063.0,2017.0,812.8,478.91344691118155,-333.8865530888184,0.58275765,-1.6232454,1.7143184,5.2002106,1.0495462,3.8112226,0.21329464,2.5071466,8.96717,-0.4740292,-0.76140165,0.57770985,-0.60642624,-5.9867234,-5.206849,-13.407216,-3.7522655,-0.11473915,3.9507954,-1.8233311,0.67618614,0.18988849,10.125285,-0.040314347,-0.5136192,5.4674945,2.5004554,0.17493159
7,8956,15088.0,2018.0,362.6,690.4264958953858,327.82649589538573,-0.637319,0.028341027,-1.4012576,-1.528783,-0.75163215,1.9630494,-0.3453184,-0.7801077,-4.5701523,-1.5843775,4.376064,1.0397941,0.6377407,2.51754,-4.3306475,-17.100206,0.36335504,0.21044067,-3.473457,2.7913346,-4.769516,-0.5412833,18.714832,-0.033853214,-1.3250797,-30.491379,-1.0950168,0.009822443
8,8997,15089.0,2018.0,364.9,666.7771298980713,301.8771298980713,0.3925126,-0.052395523,-2.2206366,-0.8156335,0.7388168,2.2773795,0.7240266,-0.7175393,-4.2167654,-2.646508,2.587342,0.5848392,-3.2311053,2.6024215,-1.2525176,-19.721079,-1.0206096,0.03736116,2.4256892,2.7077625,-4.8143106,0.14790124,20.1559,-0.033853214,-1.3250797,-23.40749,-1.8514965,8.288624
9,4637,8225.0,2018.0,462.8,746.9396520233154,284.13965202331536,-0.99035025,0.0093028005,-1.8212998,-2.7707515,-0.39878875,0.9542636,-1.5332403,-1.9023594,-4.213335,0.5556611,3.4317002,0.9913743,1.8531872,1.4454248,-5.7523375,-15.186585,0.5244956,0.11333613,-4.4302945,3.5275376,-3.1758778,-0.5394255,-5.9538817,-0.033853214,-1.3136545,-0.9151798,-0.19206975,-4.5769286
10,5979,9371.0,2016.0,801.0,520.018856201172,-280.98114379882804,0.6090536,-0.87845963,-4.458424,-3.6463394,0.48496026,0.43735942,0.7715574,-0.2418409,7.431727,-0.47694668,-0.9132483,-2.9116528,-0.40677372,0.374717,3.7640681,0.40931,0.59595513,-2.6095679,-3.0116355,-1.4681587,-2.5380285,-0.012434438,4.968044,-0.03878775,0.007662573,-0.7647077,0.7529551,2.954926
