,mean_abs_shap_value
forecasted_temp_anomaly,5.7482738983171835
winter_temp_anomaly,2.9623254246564428
avg_elevation,2.1082655843236475
forecasted_precip_anomaly,1.3023945423165828
winter_precip_anomaly,0.8232705846907135
avg_soil_pawc,0.7797716309274387
zuckerrben_lag1,0.21838426929579804
energie_und_schmierstoffe_Q2_lag1,0.08589058665446116
energie_und_schmierstoffe_Q3_lag1,0.06723617586310583
dngemittel_Q1_lag1,0.02674298445072422
dngemittel_Q2_lag1,0.012468662355508966
saat_und_pflanzgut_Q2_lag1,0.010661596967327136
energie_und_schmierstoffe_Q4_lag1,0.007732896032898509
pflanzenschutzmittel_Q3_lag1,0.007093162287549437
pflanzliche_erzeugung_lag1,0.0068412339532995465
dngemittel_Q4_lag1,0.006836194311652865
pflanzenschutzmittel_Q4_lag1,0.005717399754409085
pflanzenschutzmittel_Q2_lag1,0.0055026952253777435
saat_und_pflanzgut_Q1_lag1,0.005428282706302633
saat_und_pflanzgut_Q4_lag1,0.004619632191751122
energie_und_schmierstoffe_Q1_lag1,0.0045289517463516
pflanzenschutzmittel_Q1_lag1,0.004139548120845734
dngemittel_Q3_lag1,0.003782167826034225
saat_und_pflanzgut_Q3_lag1,0.0026212796219824944
