district_no,year,avg_elevation,avg_soil_pawc,kreisYield,lon,lat,winter_temp_anomaly,winter_precip_anomaly,national_avg_yield_lag1,producer_price_index_lag1,forecast_yield,historical_avg_yield,forecast_deviation_pct,Tier
1051,2021,4.31,60.67,898.20,9.11,54.13,0.88,0.04,733.13,100.00,846.52,800.78,5.71,B: Standard
1053,2021,40.01,48.83,819.80,10.60,53.59,0.92,0.09,733.13,100.00,788.37,779.30,1.16,B: Standard
1054,2021,3.88,57.13,933.10,8.89,54.61,0.63,-0.03,733.13,100.00,862.99,879.98,-1.93,B: Standard
1058,2021,18.67,53.52,816.70,9.78,54.29,0.96,0.01,733.13,100.00,812.01,789.96,2.79,B: Standard
1059,2021,21.81,51.95,819.20,9.49,54.62,0.85,-0.05,733.13,100.00,803.82,797.70,0.77,B: Standard
1060,2021,34.31,50.83,828.40,10.14,53.92,0.98,0.07,733.13,100.00,786.59,764.00,2.96,B: Standard
1061,2021,8.50,61.50,764.60,9.52,53.93,0.95,0.05,733.13,100.00,774.57,753.70,2.77,B: Standard
3101,2021,79.37,46.77,773.60,10.52,52.28,0.87,0.04,733.13,100.00,783.27,736.60,6.34,B: Standard
3102,2021,117.49,52.20,907.80,10.37,52.13,0.89,0.02,733.13,100.00,837.63,805.42,4.00,B: Standard
3151,2021,73.69,42.56,802.20,10.60,52.58,0.80,0.04,733.13,100.00,810.22,775.94,4.42,B: Standard
3153,2021,387.66,68.64,853.60,10.40,51.87,0.92,0.00,733.13,100.00,842.96,787.36,7.06,B: Standard
3154,2021,120.71,47.39,760.60,10.89,52.26,0.82,0.06,733.13,100.00,782.72,693.66,12.84,A: Opportunity
3155,2021,231.47,58.20,851.20,9.85,51.74,0.79,0.06,733.13,100.00,842.61,851.90,-1.09,B: Standard
3157,2021,73.39,45.43,817.10,10.26,52.30,0.88,0.04,733.13,100.00,824.06,769.26,7.12,B: Standard
3158,2021,130.02,49.33,811.70,10.58,52.13,0.89,0.05,733.13,100.00,831.29,761.54,9.16,B: Standard
3241,2021,65.35,44.87,847.60,9.72,52.42,0.88,0.07,733.13,100.00,832.74,804.64,3.49,B: Standard
3251,2021,37.83,50.48,814.20,8.70,52.73,0.86,0.10,733.13,100.00,803.84,717.24,12.07,A: Opportunity
3252,2021,168.65,59.43,862.90,9.39,52.09,0.90,0.08,733.13,100.00,852.18,846.96,0.62,B: Standard
