,kreisYield
precip_total_peak_growth,0.6473489033220245
pflanzliche_erzeugung_lag1_log,0.304203772404005
pflanzliche_erzeugung_lag1,0.3014302749455963
kreisField_ha,0.2729735835800112
pflanzenschutzmittel_lag1,0.258679496357897
pflanzenschutzmittel_lag1_log,0.2584077553482771
national_campaign_duration,0.24681135833674558
avg_elevation,0.24024110224009465
producer_price_index,0.2370223570285862
input_price_index,0.19789317594754716
fertilizer_price_index,0.1708158396152353
zuckerrben_lag1,0.0909703115615212
year,0.08243561671648525
avg_soil_pawc,0.03306539230814373
energy_price_index,0.011512014254125057
yield_density,-0.024970853376310363
winter_temp_anomaly,-0.17495858136384773
winter_precip_anomaly,-0.2794843012457933
district_no,-0.32051236373361025
temp_mean_early_growth,-0.34307255014328236
solar_rad_peak_growth,-0.3497242502390103
temp_mean_peak_growth,-0.5438088024457216
heat_stress_days_peak_growth,-0.5791189678080518
