feature,VIF
district_no,2.0287791493795457
year,1819.9217543998814
kreisField_ha,5.595785718749877
temp_mean_early_growth,13.032166322501793
national_campaign_duration,466.1299085580495
producer_price_index,46.571374298113874
fertilizer_price_index,1634.9296832950013
energy_price_index,106.7909016119719
precip_total_peak_growth,5.403649640322259
temp_mean_peak_growth,21.6321163988432
heat_stress_days_peak_growth,7.359198577343022
solar_rad_peak_growth,17.529365352760582
avg_elevation,6.134845936486572
avg_soil_pawc,1.39377990697359
pflanzliche_erzeugung_lag1,inf
zuckerrben_lag1,inf
pflanzenschutzmittel_lag1,inf
winter_temp_anomaly,53.0975015527602
winter_precip_anomaly,15.29266128056398
yield_density,4.09304574799919
input_price_index,inf
pflanzenschutzmittel_lag1_log,inf
pflanzliche_erzeugung_lag1_log,inf
